animal_id,nll,model_name,n_test_trials,tau,log_like,bits_per_trial
W051,14808.88818877606,null,14534,6,-14808.88818877606,-1.4699813919792464
W051,14808.88818877606,null,14534,6,-14808.88818877606,-1.4699813919792464
W051,14808.88818877606,null,14534,6,-14808.88818877606,-1.4699813919792464
W051,13860.1005983927,base,14534,6,-13860.1005983927,0.09417993336335913
W051,13860.1005983927,base,14534,6,-13860.1005983927,0.09417993336335913
W051,13860.1005983927,base,14534,6,-13860.1005983927,0.09417993336335913
W051,13627.588535249943,violation,14534,6,-13627.588535249943,0.1172598838548218
W051,13627.588535249943,violation,14534,6,-13627.588535249943,0.1172598838548218
W051,13627.588535249943,violation,14534,6,-13627.588535249943,0.1172598838548218
W051,13377.8342573772,violation_filtered,14534,6,-13377.8342573772,0.14205135613552974
W051,13377.8342573772,violation_filtered,14534,6,-13377.8342573772,0.14205135613552974
W051,13377.8342573772,violation_filtered,14534,6,-13377.8342573772,0.14205135613552974
W060,10647.188846704255,null,10436,4,-10647.188846704255,-1.471890240374522
W060,10647.188846704255,null,10436,4,-10647.188846704255,-1.471890240374522
W060,10647.188846704255,null,10436,4,-10647.188846704255,-1.471890240374522
W060,9673.801121280672,base,10436,4,-9673.801121280672,0.13456320854070442
W060,9673.801121280672,base,10436,4,-9673.801121280672,0.13456320854070442
W060,9673.801121280672,base,10436,4,-9673.801121280672,0.13456320854070442
W060,9268.344013933614,violation,10436,4,-9268.344013933614,0.19061446937462398
W060,9268.344013933614,violation,10436,4,-9268.344013933614,0.19061446937462398
W060,9268.344013933614,violation,10436,4,-9268.344013933614,0.19061446937462398
W060,9026.23588602186,violation_filtered,10436,4,-9026.23588602186,0.22408401666258873
W060,9026.23588602186,violation_filtered,10436,4,-9026.23588602186,0.22408401666258873
W060,9026.23588602186,violation_filtered,10436,4,-9026.23588602186,0.22408401666258873
W061,8220.928367507493,null,7497,3,-8220.928367507493,-1.582005147033008
W061,8220.928367507493,null,7497,3,-8220.928367507493,-1.582005147033008
W061,8220.928367507493,null,7497,3,-8220.928367507493,-1.582005147033008
W061,7860.662413110889,base,7497,3,-7860.662413110889,0.06932825207537811
W061,7860.662413110889,base,7497,3,-7860.662413110889,0.06932825207537811
W061,7860.662413110889,base,7497,3,-7860.662413110889,0.06932825207537811
W061,7532.658281505606,violation,7497,3,-7532.658281505606,0.13244815791211717
W061,7532.658281505606,violation,7497,3,-7532.658281505606,0.13244815791211717
W061,7532.658281505606,violation,7497,3,-7532.658281505606,0.13244815791211717
W061,7335.090215672712,violation_filtered,7497,3,-7335.090215672712,0.1704674281288894
W061,7335.090215672712,violation_filtered,7497,3,-7335.090215672712,0.1704674281288894
W061,7335.090215672712,violation_filtered,7497,3,-7335.090215672712,0.1704674281288894
W062,6715.445475498649,null,6120,3,-6715.445475498649,-1.58306207268989
W062,6715.445475498649,null,6120,3,-6715.445475498649,-1.58306207268989
W062,6715.445475498649,null,6120,3,-6715.445475498649,-1.58306207268989
W062,6329.217132464946,base,6120,3,-6329.217132464946,0.09104733907605958
W062,6329.217132464946,base,6120,3,-6329.217132464946,0.09104733907605958
W062,6329.217132464946,base,6120,3,-6329.217132464946,0.09104733907605958
W062,6047.869025319469,violation,6120,3,-6047.869025319469,0.1573707898836211
W062,6047.869025319469,violation,6120,3,-6047.869025319469,0.1573707898836211
W062,6047.869025319469,violation,6120,3,-6047.869025319469,0.1573707898836211
W062,5864.8277885454645,violation_filtered,6120,3,-5864.8277885454645,0.20051992134964056
W062,5864.8277885454645,violation_filtered,6120,3,-5864.8277885454645,0.20051992134964056
W062,5864.8277885454645,violation_filtered,6120,3,-5864.8277885454645,0.20051992134964056
W065,11325.328772727498,null,10487,3,-11325.328772727498,-1.5580238063174456
W065,11325.328772727498,null,10487,3,-11325.328772727498,-1.5580238063174456
W065,11325.328772727498,null,10487,3,-11325.328772727498,-1.5580238063174456
W065,9873.549920601794,base,10487,3,-9873.549920601794,0.19972100223412087
W065,9873.549920601794,base,10487,3,-9873.549920601794,0.19972100223412087
W065,9873.549920601794,base,10487,3,-9873.549920601794,0.19972100223412087
W065,9555.465647939382,violation,10487,3,-9555.465647939382,0.24347980863774774
W065,9555.465647939382,violation,10487,3,-9555.465647939382,0.24347980863774774
W065,9555.465647939382,violation,10487,3,-9555.465647939382,0.24347980863774774
W065,9357.395909255507,violation_filtered,10487,3,-9357.395909255507,0.2707282333301668
W065,9357.395909255507,violation_filtered,10487,3,-9357.395909255507,0.2707282333301668
W065,9357.395909255507,violation_filtered,10487,3,-9357.395909255507,0.2707282333301668
W066,6860.878636918529,null,6296,4,-6860.878636918529,-1.572133987551365
W066,6860.878636918529,null,6296,4,-6860.878636918529,-1.572133987551365
W066,6860.878636918529,null,6296,4,-6860.878636918529,-1.572133987551365
W066,6174.132151725511,base,6296,4,-6174.132151725511,0.1573643183824481
W066,6174.132151725511,base,6296,4,-6174.132151725511,0.1573643183824481
W066,6174.132151725511,base,6296,4,-6174.132151725511,0.1573643183824481
W066,5953.992278808841,violation,6296,4,-5953.992278808841,0.20780820385875162
W066,5953.992278808841,violation,6296,4,-5953.992278808841,0.20780820385875162
W066,5953.992278808841,violation,6296,4,-5953.992278808841,0.20780820385875162
W066,5755.830700455649,violation_filtered,6296,4,-5755.830700455649,0.2532158795869726
W066,5755.830700455649,violation_filtered,6296,4,-5755.830700455649,0.2532158795869726
W066,5755.830700455649,violation_filtered,6296,4,-5755.830700455649,0.2532158795869726
W068,8665.387836096957,null,7940,4,-8665.387836096957,-1.5744977403673333
W068,8665.387836096957,null,7940,4,-8665.387836096957,-1.5744977403673333
W068,8665.387836096957,null,7940,4,-8665.387836096957,-1.5744977403673333
W068,7646.110907938995,base,7940,4,-7646.110907938995,0.1852022379780892
W068,7646.110907938995,base,7940,4,-7646.110907938995,0.1852022379780892
W068,7646.110907938995,base,7940,4,-7646.110907938995,0.1852022379780892
W068,7305.399197587829,violation,7940,4,-7305.399197587829,0.2471094287710898
W068,7305.399197587829,violation,7940,4,-7305.399197587829,0.2471094287710898
W068,7305.399197587829,violation,7940,4,-7305.399197587829,0.2471094287710898
W068,7113.950009016626,violation_filtered,7940,4,-7113.950009016626,0.2818956749844262
W068,7113.950009016626,violation_filtered,7940,4,-7113.950009016626,0.2818956749844262
W068,7113.950009016626,violation_filtered,7940,4,-7113.950009016626,0.2818956749844262
W072,7187.300931997379,null,6570,2,-7187.300931997379,-1.5782470946680738
W072,7187.300931997379,null,6570,2,-7187.300931997379,-1.5782470946680738
W072,7187.300931997379,null,6570,2,-7187.300931997379,-1.5782470946680738
W072,6504.750979005272,base,6570,2,-6504.750979005272,0.14987997448108192
W072,6504.750979005272,base,6570,2,-6504.750979005272,0.14987997448108192
W072,6504.750979005272,base,6570,2,-6504.750979005272,0.14987997448108192
W072,6149.854698885221,violation,6570,2,-6149.854698885221,0.2278110404413768
W072,6149.854698885221,violation,6570,2,-6149.854698885221,0.2278110404413768
W072,6149.854698885221,violation,6570,2,-6149.854698885221,0.2278110404413768
W072,6001.669139730287,violation_filtered,6570,2,-6001.669139730287,0.26035085342831477
W072,6001.669139730287,violation_filtered,6570,2,-6001.669139730287,0.26035085342831477
W072,6001.669139730287,violation_filtered,6570,2,-6001.669139730287,0.26035085342831477
W073,8270.083337438622,null,7750,2,-8270.083337438622,-1.539510737891761
W073,8270.083337438622,null,7750,2,-8270.083337438622,-1.539510737891761
W073,8270.083337438622,null,7750,2,-8270.083337438622,-1.539510737891761
W073,7172.421716336854,base,7750,2,-7172.421716336854,0.20433431965647242
W073,7172.421716336854,base,7750,2,-7172.421716336854,0.20433431965647242
W073,7172.421716336854,base,7750,2,-7172.421716336854,0.20433431965647242
W073,6410.078037451391,violation,7750,2,-6410.078037451391,0.34624779642822806
W073,6410.078037451391,violation,7750,2,-6410.078037451391,0.34624779642822806
W073,6410.078037451391,violation,7750,2,-6410.078037451391,0.34624779642822806
W073,6166.914478351323,violation_filtered,7750,2,-6166.914478351323,0.3915137139557865
W073,6166.914478351323,violation_filtered,7750,2,-6166.914478351323,0.3915137139557865
W073,6166.914478351323,violation_filtered,7750,2,-6166.914478351323,0.3915137139557865
W074,9703.821124580913,null,9230,4,-9703.821124580913,-1.5167556461653788
W074,9703.821124580913,null,9230,4,-9703.821124580913,-1.5167556461653788
W074,9703.821124580913,null,9230,4,-9703.821124580913,-1.5167556461653788
W074,8829.594393243584,base,9230,4,-8829.594393243584,0.13664599890714324
W074,8829.594393243584,base,9230,4,-8829.594393243584,0.13664599890714324
W074,8829.594393243584,base,9230,4,-8829.594393243584,0.13664599890714324
W074,8380.76125020771,violation,9230,4,-8380.76125020771,0.20680085802355302
W074,8380.76125020771,violation,9230,4,-8380.76125020771,0.20680085802355302
W074,8380.76125020771,violation,9230,4,-8380.76125020771,0.20680085802355302
W074,8134.925294399136,violation_filtered,9230,4,-8134.925294399136,0.24522624419009995
W074,8134.925294399136,violation_filtered,9230,4,-8134.925294399136,0.24522624419009995
W074,8134.925294399136,violation_filtered,9230,4,-8134.925294399136,0.24522624419009995
W075,14357.839097439857,null,13632,6,-14357.839097439857,-1.5195116830808504
W075,14357.839097439857,null,13632,6,-14357.839097439857,-1.5195116830808504
W075,14357.839097439857,null,13632,6,-14357.839097439857,-1.5195116830808504
W075,12902.671816832739,base,13632,6,-12902.671816832739,0.15400253956835155
W075,12902.671816832739,base,13632,6,-12902.671816832739,0.15400253956835155
W075,12902.671816832739,base,13632,6,-12902.671816832739,0.15400253956835155
W075,12774.504996644524,violation,13632,6,-12774.504996644524,0.16756662670831965
W075,12774.504996644524,violation,13632,6,-12774.504996644524,0.16756662670831965
W075,12774.504996644524,violation,13632,6,-12774.504996644524,0.16756662670831965
W075,12592.745032919025,violation_filtered,13632,6,-12592.745032919025,0.1868025567478542
W075,12592.745032919025,violation_filtered,13632,6,-12592.745032919025,0.1868025567478542
W075,12592.745032919025,violation_filtered,13632,6,-12592.745032919025,0.1868025567478542
W078,11008.362886159983,null,10682,2,-11008.362886159983,-1.4867731271455835
W078,11008.362886159983,null,10682,2,-11008.362886159983,-1.4867731271455835
W078,11008.362886159983,null,10682,2,-11008.362886159983,-1.4867731271455835
W078,9704.240321173413,base,10682,2,-9704.240321173413,0.17613285501006548
W078,9704.240321173413,base,10682,2,-9704.240321173413,0.17613285501006548
W078,9704.240321173413,base,10682,2,-9704.240321173413,0.17613285501006548
W078,9459.519905862828,violation,10682,2,-9459.519905862828,0.20918443051772964
W078,9459.519905862828,violation,10682,2,-9459.519905862828,0.20918443051772964
W078,9459.519905862828,violation,10682,2,-9459.519905862828,0.20918443051772964
W078,9384.92827626448,violation_filtered,10682,2,-9384.92827626448,0.21925866512860429
W078,9384.92827626448,violation_filtered,10682,2,-9384.92827626448,0.21925866512860429
W078,9384.92827626448,violation_filtered,10682,2,-9384.92827626448,0.21925866512860429
W080,11269.810090234796,null,10347,3,-11269.810090234796,-1.5713635961092243
W080,11269.810090234796,null,10347,3,-11269.810090234796,-1.5713635961092243
W080,11269.810090234796,null,10347,3,-11269.810090234796,-1.5713635961092243
W080,10797.706591745076,base,10347,3,-10797.706591745076,0.06582597623054497
W080,10797.706591745076,base,10347,3,-10797.706591745076,0.06582597623054497
W080,10797.706591745076,base,10347,3,-10797.706591745076,0.06582597623054497
W080,9274.861639017932,violation,10347,3,-9274.861639017932,0.27815813640665776
W080,9274.861639017932,violation,10347,3,-9274.861639017932,0.27815813640665776
W080,9274.861639017932,violation,10347,3,-9274.861639017932,0.27815813640665776
W080,8572.829278575233,violation_filtered,10347,3,-8572.829278575233,0.37604337898462775
W080,8572.829278575233,violation_filtered,10347,3,-8572.829278575233,0.37604337898462775
W080,8572.829278575233,violation_filtered,10347,3,-8572.829278575233,0.37604337898462775
W081,7503.420792107775,null,7298,4,-7503.420792107775,-1.4833033661930701
W081,7503.420792107775,null,7298,4,-7503.420792107775,-1.4833033661930701
W081,7503.420792107775,null,7298,4,-7503.420792107775,-1.4833033661930701
W081,6847.559424773215,base,7298,4,-6847.559424773215,0.12965304770679972
W081,6847.559424773215,base,7298,4,-6847.559424773215,0.12965304770679972
W081,6847.559424773215,base,7298,4,-6847.559424773215,0.12965304770679972
W081,5744.284828651111,violation,7298,4,-5744.284828651111,0.3477523610206027
W081,5744.284828651111,violation,7298,4,-5744.284828651111,0.3477523610206027
W081,5744.284828651111,violation,7298,4,-5744.284828651111,0.3477523610206027
W081,5237.401470612448,violation_filtered,7298,4,-5237.401470612448,0.4479548969142069
W081,5237.401470612448,violation_filtered,7298,4,-5237.401470612448,0.4479548969142069
W081,5237.401470612448,violation_filtered,7298,4,-5237.401470612448,0.4479548969142069
W082,16034.380150983301,null,15392,6,-16034.380150983301,-1.5029054526735992
W082,16034.380150983301,null,15392,6,-16034.380150983301,-1.5029054526735992
W082,16034.380150983301,null,15392,6,-16034.380150983301,-1.5029054526735992
W082,15343.218503075826,base,15392,6,-15343.218503075826,0.06478271062167083
W082,15343.218503075826,base,15392,6,-15343.218503075826,0.06478271062167083
W082,15343.218503075826,base,15392,6,-15343.218503075826,0.06478271062167083
W082,14986.578135426167,violation,15392,6,-14986.578135426167,0.09821067903311705
W082,14986.578135426167,violation,15392,6,-14986.578135426167,0.09821067903311705
W082,14986.578135426167,violation,15392,6,-14986.578135426167,0.09821067903311705
W082,14185.919187623527,violation_filtered,15392,6,-14185.919187623527,0.173256592068346
W082,14185.919187623527,violation_filtered,15392,6,-14185.919187623527,0.173256592068346
W082,14185.919187623527,violation_filtered,15392,6,-14185.919187623527,0.173256592068346
W083,13814.712598960083,null,12579,2,-13814.712598960083,-1.5844198551415847
W083,13814.712598960083,null,12579,2,-13814.712598960083,-1.5844198551415847
W083,13814.712598960083,null,12579,2,-13814.712598960083,-1.5844198551415847
W083,12494.22404722817,base,12579,2,-12494.22404722817,0.1514478325092837
W083,12494.22404722817,base,12579,2,-12494.22404722817,0.1514478325092837
W083,12494.22404722817,base,12579,2,-12494.22404722817,0.1514478325092837
W083,10675.214941162365,violation,12579,2,-10675.214941162365,0.36007136511545296
W083,10675.214941162365,violation,12579,2,-10675.214941162365,0.36007136511545296
W083,10675.214941162365,violation,12579,2,-10675.214941162365,0.36007136511545296
W083,10071.502915453875,violation_filtered,12579,2,-10071.502915453875,0.4293115547660348
W083,10071.502915453875,violation_filtered,12579,2,-10071.502915453875,0.4293115547660348
W083,10071.502915453875,violation_filtered,12579,2,-10071.502915453875,0.4293115547660348
W088,9008.962217935516,null,8300,4,-9008.962217935516,-1.5659259175146512
W088,9008.962217935516,null,8300,4,-9008.962217935516,-1.5659259175146512
W088,9008.962217935516,null,8300,4,-9008.962217935516,-1.5659259175146512
W088,8015.060886568654,base,8300,4,-8015.060886568654,0.17275861709589277
W088,8015.060886568654,base,8300,4,-8015.060886568654,0.17275861709589277
W088,8015.060886568654,base,8300,4,-8015.060886568654,0.17275861709589277
W088,6582.502676670813,violation,8300,4,-6582.502676670813,0.42176399362654154
W088,6582.502676670813,violation,8300,4,-6582.502676670813,0.42176399362654154
W088,6582.502676670813,violation,8300,4,-6582.502676670813,0.42176399362654154
W088,5875.573154461952,violation_filtered,8300,4,-5875.573154461952,0.5446415497649426
W088,5875.573154461952,violation_filtered,8300,4,-5875.573154461952,0.5446415497649426
W088,5875.573154461952,violation_filtered,8300,4,-5875.573154461952,0.5446415497649426
W089,11603.733893332166,null,10567,3,-11603.733893332166,-1.5842386054419892
W089,11603.733893332166,null,10567,3,-11603.733893332166,-1.5842386054419892
W089,11603.733893332166,null,10567,3,-11603.733893332166,-1.5842386054419892
W089,10749.949146293056,base,10567,3,-10749.949146293056,0.11656582005677693
W089,10749.949146293056,base,10567,3,-10749.949146293056,0.11656582005677693
W089,10749.949146293056,base,10567,3,-10749.949146293056,0.11656582005677693
W089,8763.450721619474,violation,10567,3,-8763.450721619474,0.3877791659458954
W089,8763.450721619474,violation,10567,3,-8763.450721619474,0.3877791659458954
W089,8763.450721619474,violation,10567,3,-8763.450721619474,0.3877791659458954
W089,8134.469231623185,violation_filtered,10567,3,-8134.469231623185,0.47365296895797054
W089,8134.469231623185,violation_filtered,10567,3,-8134.469231623185,0.47365296895797054
W089,8134.469231623185,violation_filtered,10567,3,-8134.469231623185,0.47365296895797054
W094,7288.31766587314,null,6667,6,-7288.31766587314,-1.5771441057415037
W094,7288.31766587314,null,6667,6,-7288.31766587314,-1.5771441057415037
W094,7288.31766587314,null,6667,6,-7288.31766587314,-1.5771441057415037
W094,6671.668852054932,base,6667,6,-6671.668852054932,0.13343875591204288
W094,6671.668852054932,base,6667,6,-6671.668852054932,0.13343875591204288
W094,6671.668852054932,base,6667,6,-6671.668852054932,0.13343875591204288
W094,6542.34985918758,violation,6667,6,-6542.34985918758,0.16142253717835234
W094,6542.34985918758,violation,6667,6,-6542.34985918758,0.16142253717835234
W094,6542.34985918758,violation,6667,6,-6542.34985918758,0.16142253717835234
W094,6219.756734661027,violation_filtered,6667,6,-6219.756734661027,0.23122957197351263
W094,6219.756734661027,violation_filtered,6667,6,-6219.756734661027,0.23122957197351263
W094,6219.756734661027,violation_filtered,6667,6,-6219.756734661027,0.23122957197351263
